dnarun_name	germplasm_name	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle
A2017WMC117-01	IR131965	BR29*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BR29	RP		
A2017WMC117-02	IR131965	BR29*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BR29	RP		
A2017WMC117-03	IR131965	BR29*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BR29	RP		
A2017WMC117-04	IR131965	BR29*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BR29	RP		
A2017WMC117-05	IR131965	BR29*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BR29	RP		
A2017WMC117-06	IR131965	BR29*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BR29	RP		
A2017WMC117-07	IR131965	BR29*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BR29	RP		
A2017WMC117-08	IR131965	BR29*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BR29	RP		
A2017WMC118-01	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-02	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-03	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-04	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-05	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-06	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-07	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-08	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-09	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-10	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-11	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC118-12	IR131966	BR29*2/IR123492:2-4-2	BC1F1	IR123492:2-4-2	DP	BR29	RP		
A2017WMC119-01	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-02	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-03	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-04	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-05	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-06	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-07	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-08	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-09	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-10	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-11	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC119-12	IR131967	BRRIDHAN53*2/IR102697-2-4-4-76-7	BC1F1	IR102697-2-4-4-76-7	DP	BRRIDHAN53	RP		
A2017WMC120-01	IR131968	BRRIDHAN54*2/IR107578-22-40-6-3	BC1F1	IR107578-22-40-6-3	DP	BRRIDHAN54	RP		
A2017WMC120-02	IR131968	BRRIDHAN54*2/IR107578-22-40-6-3	BC1F1	IR107578-22-40-6-3	DP	BRRIDHAN54	RP		
A2017WMC120-03	IR131968	BRRIDHAN54*2/IR107578-22-40-6-3	BC1F1	IR107578-22-40-6-3	DP	BRRIDHAN54	RP		
A2017WMC120-04	IR131968	BRRIDHAN54*2/IR107578-22-40-6-3	BC1F1	IR107578-22-40-6-3	DP	BRRIDHAN54	RP		
A2017WMC120-05	IR131968	BRRIDHAN54*2/IR107578-22-40-6-3	BC1F1	IR107578-22-40-6-3	DP	BRRIDHAN54	RP		
